exercise_name,type,primary_muscle_group,secondary_muscle_group,equipment,difficulty
Barbell Squat,Weights,Quadriceps,Glutes,Barbell,Intermediate
Push-Up,Calisthenics,Chest,Triceps,,Beginner
Downward Dog,Yoga,Shoulders,Hamstrings,,Beginner
Deadlift,Weights,Lower Back,Hamstrings,Barbell,Advanced
Plank,Calisthenics,Core,Shoulders,,Beginner
Warrior II,Yoga,Hips,Quadriceps,,Beginner
Bench Press,Weights,Chest,Triceps,Barbell,Intermediate
Pull-Up,Calisthenics,Back,Biceps,Pull-Up Bar,Intermediate
Tree Pose,Yoga,Core,Legs,,Beginner
Lunges,Calisthenics,Quadriceps,Glutes,,Beginner
Bicep Curl,Weights,Biceps,Forearms,Dumbbells,Beginner
Burpee,Calisthenics,Full Body,Core,,Intermediate
Child's Pose,Yoga,Lower Back,Hips,,Beginner
Overhead Press,Weights,Shoulders,Triceps,Dumbbells,Intermediate
Mountain Climbers,Calisthenics,Core,Cardio,,Beginner
Cobra Pose,Yoga,Spine,Chest,,Beginner
Russian Twist,Calisthenics,Obliques,Core,Medicine Ball,Intermediate
Leg Press,Weights,Quadriceps,Glutes,Leg Press Machine,Beginner
Chest Dip,Calisthenics,Chest,Triceps,Dip Bars,Intermediate
Bridge,Yoga,Glutes,Lower Back,,Beginner
Front Squat,Weights,Quadriceps,Core,Barbell,Advanced
Romanian Deadlift,Weights,Hamstrings,Glutes,Barbell,Intermediate
Lateral Raise,Weights,Shoulders,,Dumbbells,Beginner
Tricep Dip,Calisthenics,Triceps,Chest,Dip Bars,Intermediate
Side Plank,Calisthenics,Obliques,Core,,Beginner
Calf Raise,Weights,Calves,,Dumbbells,Beginner
Skull Crushers,Weights,Triceps,,EZ-Bar,Intermediate
Hollow Body Hold,Calisthenics,Core,,,Intermediate
Pistol Squat,Calisthenics,Quadriceps,Glutes,,Advanced
Box Jump,Cardio,Quadriceps,Glutes,Plyo Box,Intermediate
Jump Rope,Cardio,Calves,Cardio,,Beginner
Triangle Pose,Yoga,Hips,Core,,Beginner
Crow Pose,Yoga,Core,Triceps,,Advanced
Sun Salutation,Yoga,Full Body,,,Beginner
Kettlebell Swing,Weights,Glutes,Lower Back,Kettlebell,Intermediate
Farmer's Walk,Weights,Forearms,Core,Dumbbells,Beginner
Dragon Flag,Calisthenics,Core,,,Advanced
L-Sit,Calisthenics,Core,Triceps,,Intermediate
Pike Push-Up,Calisthenics,Shoulders,Triceps,,Intermediate
Wide-Grip Push-Up,Calisthenics,Chest,Shoulders,,Beginner
Decline Push-Up,Calisthenics,Chest,Triceps,Bench,Intermediate
Reverse Lunge,Calisthenics,Quadriceps,Glutes,,Beginner
Pigeon Pose,Yoga,Hips,Glutes,,Intermediate
Wheel Pose,Yoga,Spine,Shoulders,,Advanced
Teaser,Pilates,Core,Hips,,Intermediate
Pilates Hundred,Pilates,Core,,,Beginner
Scissor Kick,Pilates,Core,Hip Flexors,,Beginner
Side Bend,Yoga,Obliques,,,Beginner
Eagle Pose,Yoga,Shoulders,Legs,,Intermediate
